"logP","SMILES (RDKit Mol)","SMR","LabuteASA","TPSA","AMW","ExactMW","NumLipinskiHBA","NumLipinskiHBD","NumRotatableBonds","NumHBD","NumHBA","NumAmideBonds","NumHeteroAtoms","NumHeavyAtoms","NumAtoms","NumStereocenters","NumUnspecifiedStereocenters","NumRings","NumAromaticRings","NumSaturatedRings","NumAliphaticRings","NumAromaticHeterocycles","NumSaturatedHeterocycles","NumAliphaticHeterocycles","NumAromaticCarbocycles","NumSaturatedCarbocycles","NumAliphaticCarbocycles","FractionCSP3","Chi0v","Chi1v","Chi2v","Chi3v","Chi4v","Chi1n","Chi2n","Chi3n","Chi4n","HallKierAlpha","kappa1","kappa2","kappa3","smr_VSA1","smr_VSA2","smr_VSA3","smr_VSA4","smr_VSA5","smr_VSA6","smr_VSA7","smr_VSA8","smr_VSA9","smr_VSA10","peoe_VSA1","peoe_VSA2","peoe_VSA3","peoe_VSA4","peoe_VSA5","peoe_VSA6","peoe_VSA7","peoe_VSA8","peoe_VSA9","peoe_VSA10","peoe_VSA11","peoe_VSA12","peoe_VSA13","peoe_VSA14","MQN1","MQN2","MQN3","MQN4","MQN5","MQN6","MQN7","MQN8","MQN9","MQN10","MQN11","MQN12","MQN13","MQN14","MQN15","MQN16","MQN17","MQN18","MQN19","MQN20","MQN21","MQN22","MQN23","MQN24","MQN25","MQN26","MQN27","MQN28","MQN29","MQN30","MQN31","MQN32","MQN33","MQN34","MQN35","MQN36","MQN37","MQN38","MQN39","MQN40","MQN41","MQN42"
3.39,"CCCCC=C",0.06757475949233849,0.05417891789129948,0,0.04717203904746225,0.047161305200847,0,0,0.14285714285714285,0,0,0,0,0.04819277108433736,0.07407407407407407,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.059240383215190415,0.07386998700503153,0.04429915695599288,0.04406046439273417,0.02174279165647216,0.07386998700503153,0.04429915695599288,0.048302440225982124,0.03354880860186657,0.6071428571428571,0.058333777454574964,0.0041858919713508354,0.0032281069743051944,0,0,0,0,0.10038558837930468,0,0.0816119654504833,0,0,0,0,0,0,0,0.07088795978869,0.12036015279406483,0.04729377386842152,0,0,0,0,0,0,0,0.0821917808219178,0,0,0,0,0,0,0,0,0,0,0.04819277108433736,0.06666666666666667,0.06666666666666667,0,0,0,0,0.14285714285714285,0,0,0,0,0,0,0.0625,0.18181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.73,"CC(C)CN",0.05014483081942421,0.04072056962951328,0.06381517633786238,0.03756701860967269,0.037565032793420626,0.041666666666666664,0.18181818181818182,0.047619047619047616,0.125,0.041666666666666664,0,0.029411764705882353,0.03614457831325301,0.06349206349206349,0,0,0,0,0,0,0,0,0,0,0,0,1,0.049446808863040634,0.05561157428501145,0.050448995165097724,0.02726471025118328,0,0.05561157428501145,0.050448995165097724,0.02988965403196421,0,0.6302521008403361,0.04715433116106919,0.0017127132235002967,0.0032511798636602023,0,0,0,0.25145064665710876,0.05308470703443771,0.0975742151168006,0,0,0,0,0.08276867795249201,0,0,0,0,0.06449666422465443,0.09179609315143342,0,0,0,0,0,0,0,0.0547945205479452,0,0,0,0,0,0,0.07692307692307693,0,0,0,0.03614457831325301,0.06666666666666667,0,0,0,0,0,0.047619047619047616,0.02127659574468085,0.041666666666666664,0.18181818181818182,0.125,0,0,0.09375,0.045454545454545456,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.42,"CCCCCCCCC(O)=O",0.11513452163970951,0.11190621332650993,0.09147986461961055,0.11172164523552489,0.11172224815467344,0.08333333333333333,0.09090909090909091,0.3333333333333333,0.125,0.041666666666666664,0,0.058823529411764705,0.10843373493975905,0.13227513227513227,0,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,0.11144142114069502,0.13881115333358154,0.0901369131822007,0.10087936028613312,0.06592538590880327,0.13881115333358154,0.0901369131822007,0.11059164576258528,0.10172190346129137,0.578781512605042,0.1261270863882702,0.006960573422595229,0.0038290508652333542,0.04947869504902022,0,0,0,0.1988432348620858,0,0,0,0,0.04287946597742011,0.07371556217423678,0.1580115455030394,0,0,0,0.18177797351710348,0.04729377386842152,0.0844416684517384,0,0,0,0,0,0.05048928783047304,0.1232876712328767,0,0,0,0,0,0,0,0,0.10526315789473684,0,0.10843373493975905,0.15,0.06666666666666667,0,0,0,0,0.3333333333333333,0.0851063829787234,0.08333333333333333,0.09090909090909091,0.125,0,0,0.09375,0.3181818181818182,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33,"CCC(O)=O",0.03230827556843997,0.03519879666461141,0.09147986461961055,0.03838609864337695,0.038391377375202464,0.08333333333333333,0.09090909090909091,0.047619047619047616,0.125,0.041666666666666664,0,0.058823529411764705,0.03614457831325301,0.037037037037037035,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.03505740853323834,0.03965362411795269,0.023135312039884566,0.017492940338800778,0,0.03965362411795269,0.023135312039884566,0.019177094856742672,0,0.578781512605042,0.04013134566899504,0.001268132699881671,0.003199790246460412,0.04947869504902022,0,0,0,0.05115676513791413,0,0,0,0,0.04287946597742011,0.07371556217423678,0.1580115455030394,0,0,0,0.032248332112327215,0,0.0844416684517384,0,0,0,0,0,0.05048928783047304,0.0410958904109589,0,0,0,0,0,0,0,0,0.10526315789473684,0,0.03614457831325301,0.05,0.06666666666666667,0,0,0,0,0.047619047619047616,0.0851063829787234,0.08333333333333333,0.09090909090909091,0.125,0,0,0.09375,0.045454545454545456,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.8,"CCOC(=O)C(C)C",0.0728040968823699,0.07419387135560998,0.06450188845833131,0.0750538719394509,0.07505681276493795,0.08333333333333333,0,0.09523809523809523,0,0.08333333333333333,0,0.058823529411764705,0.07228915662650603,0.08465608465608465,0,0,0,0,0,0,0,0,0,0,0,0,0.8333333333333334,0.08075819806583782,0.08457247285500973,0.05903078470415837,0.04384064292153431,0.019275874386737227,0.08457247285500973,0.05903078470415837,0.04806145517011944,0.029742391439499073,0.578781512605042,0.08312921602863262,0.0029424572895035152,0.0031096928663268872,0.04763136701646979,0,0,0.12771333409900082,0.07962706055165657,0.09850043027946806,0,0,0,0.04287946597742011,0.06837925043435096,0.1580115455030394,0,0,0,0.06449666422465443,0.05099809349591081,0,0.18711400358425367,0,0,0,0,0.05048928783047304,0.0821917808219178,0,0,0,0,0,0,0,0,0.10526315789473684,0,0.07228915662650603,0.1,0.06666666666666667,0,0,0,0,0.09523809523809523,0.0851063829787234,0.08333333333333333,0,0,0,0,0.125,0.09090909090909091,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.4,"CCOC(=O)C(CC)C(=O)OCC",0.11937479967661209,0.1311774022737845,0.12900377691666262,0.1378468128637392,0.1378600851421248,0.16666666666666666,0,0.23809523809523808,0,0.16666666666666666,0,0.11764705882352941,0.13253012048192772,0.13227513227513227,0,0,0,0,0,0,0,0,0,0,0,0,0.7777777777777778,0.12992158789671823,0.13922016619538619,0.07631146441394906,0.08967521367633852,0.05710906151458149,0.13922016619538619,0.07631146441394906,0.09830880604762328,0.08811844423917856,0.5231092436974789,0.1471960428644926,0.005864417655157283,0.0032467057236681943,0.09526273403293958,0,0,0.12771333409900082,0.10424147217235184,0.19700086055893612,0,0,0,0.08575893195484022,0.13675850086870192,0.3160230910060788,0,0,0,0.032248332112327215,0.14928996086024313,0,0.19740695563629812,0,0.23520989261308162,0,0,0.10097857566094608,0.1232876712328767,0,0,0,0,0,0,0,0,0.21052631578947367,0,0.13253012048192772,0.16666666666666666,0.13333333333333333,0,0,0,0,0.23809523809523808,0.1702127659574468,0.16666666666666666,0,0,0,0,0.15625,0.2272727272727273,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.21,"CCCC(N)=O",0.05077271009438508,0.04907936807937733,0.10568009025359301,0.04975126979189274,0.04975511599882652,0.08333333333333333,0.18181818181818182,0.09523809523809523,0.125,0.041666666666666664,0.25,0.058823529411764705,0.04819277108433736,0.0582010582010582,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.050131042934316555,0.058330550824458836,0.037655668261923785,0.028710357567888832,0.01537447542221775,0.058330550824458836,0.037655668261923785,0.0314744828363228,0.02372259006310943,0.578781512605042,0.05446396912220755,0.002183564578577106,0.003199790246460412,0.02395979152960271,0,0,0.12373731255810796,0.07577117675860941,0,0,0,0,0.04243319783601538,0.08276867795249201,0.1580115455030394,0,0,0,0.032248332112327215,0.04729377386842152,0.0844416684517384,0,0,0,0.22223110628375814,0,0,0.0547945205479452,0,0,0,0,0,0,0.07692307692307693,0,0.05263157894736842,0,0.04819277108433736,0.06666666666666667,0.06666666666666667,0,0,0,0,0.09523809523809523,0.06382978723404255,0.08333333333333333,0.18181818181818182,0.125,0,0,0.09375,0.09090909090909091,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.46,"CC(C)C#N",0.03985538445346986,0.03881780865458418,0.058346004806984854,0.034053688082124146,0.03404969164014147,0.041666666666666664,0,0,0,0.041666666666666664,0,0.029411764705882353,0.03614457831325301,0.042328042328042326,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.043375116676790976,0.04555651665011659,0.03974499371037106,0.014933496828415427,0,0.04555651665011659,0.03974499371037106,0.016371237749332038,0,0.5808823529411764,0.04041799813805931,0.0012860870446550665,0.003201887781856322,0,0.9727520200835414,0,0.12771333409900082,0.05308470703443771,0,0,0,0.17785289814333982,0,0,0,0,0.07049972024754247,0,0,0.10199618699182161,0.07782771265506264,0.09067109938368544,0,0,0,0,0,0.0547945205479452,0,0,0,0,0,0,0.07692307692307693,0,0,0,0.03614457831325301,0.05,0,0.2,0,0,0,0,0.02127659574468085,0.041666666666666664,0,0,0,0,0.09375,0.045454545454545456,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8,"CCO[P](=O)(OCC)OCC",0.10573337495275938,0.10957557248782063,0.10977583754353268,0.13256026119939474,0.13259831084474205,0.16666666666666666,0,0.2857142857142857,0,0.16666666666666666,0,0.14705882352941177,0.10843373493975905,0.1164021164021164,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1256779016113977,0.16161225737285154,0.10431779889008587,0.14950449216431902,0.10972020051610377,0.11333597693029378,0.05264671017447746,0.05463274083173825,0.05643222000546668,0.6460084033613445,0.1352999653983262,0.005146174575014794,0.003311404380827028,0.09063267325465317,0,0,0,0.07962706055165657,0.2955012908384042,0,0,0,0.0561929837664744,0,0.44726169787258724,0.09038485749161154,0,0,0,0.15299428048773242,0,0.29611043345444715,0,0,0,0,0.06616555656109702,0.0821917808219178,0,0,0,0,0,0.5,0,0,0.21052631578947367,0,0.10843373493975905,0.15,0.06666666666666667,0,0,0,0,0.2857142857142857,0.1702127659574468,0.16666666666666666,0,0,0,0,0.125,0.2727272727272727,0,0.1111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0
2.13,"c1ccccc1",0.05776788319771127,0.04927201803061807,0,0.041902043256139436,0.04188829347092828,0,0,0,0,0,0,0,0.04819277108433736,0.042328042328042326,0,0,0.14285714285714285,0.14285714285714285,0,0,0,0,0,0.14285714285714285,0,0,0,0.042286561323502767,0.05656358177961567,0.035748221088897726,0.03855812301139617,0.024016424501235596,0.05656358177961567,0.035748221088897726,0.04227035410664347,0.03705699073160613,0.5525210084033613,0.024961279657692532,0.0011189919279744063,0.002896948008404832,0,0,0,0,0,0,0.23473245476315793,0,0,0,0,0,0,0,0,0.16953002197810998,0,0,0,0,0,0,0,0,0.0821917808219178,0,0,0,0,0,0,0,0,0,0,0.04819277108433736,0,0,0,0.13043478260869565,0.15789473684210525,0,0,0,0,0,0,0,0,0,0,0,0,0.2727272727272727,0,0,0,0,0,0.14285714285714285,0,0,0,0,0,0
